notice_date,affected
3/25/20,7604
3/18/20,6783
3/31/20,6517
3/23/20,6183
3/19/20,6154
3/26/20,5276
3/30/20,5065
3/20/20,4999
3/27/20,4835
3/16/20,4376
4/2/20,3939
4/8/20,3862
3/24/20,3742
4/10/20,3670
4/27/20,2839
3/17/20,2609
4/17/20,2497
4/1/20,2485
4/6/20,2333
4/3/20,2091
4/28/20,1941
4/29/20,1695
4/13/20,1416
4/16/20,1298
3/22/20,1256
4/30/20,1228
4/9/20,1204
4/21/20,1115
4/7/20,1031
5/1/20,1026
4/23/20,1018
4/22/20,989
4/15/20,915
3/21/20,889
4/14/20,782
3/15/20,776
3/12/20,744
3/29/20,615
4/20/20,456
5/4/20,384
4/24/20,294
3/14/20,258
4/18/20,204
3/13/20,177
3/28/20,80
5/5/20,33
3/5/20,30
3/3/20,26